ForLoop_prod_num_1,ForLoop_sum_num_1,ListUtil_prod_num_1,ListUtil_sum_num_1,OMP_prod_num_01,OMP_prod_num_02,OMP_prod_num_03,OMP_prod_num_04,OMP_prod_num_05,OMP_prod_num_06,OMP_prod_num_07,OMP_prod_num_08,OMP_sum_num_01,OMP_sum_num_02,OMP_sum_num_03,OMP_sum_num_04,OMP_sum_num_05,OMP_sum_num_06,OMP_sum_num_07,OMP_sum_num_08,StC_prod_num_1,StC_sum_num_1
0.335759,0.354707,0.128189,0.125400,0.063562,0.038842,0.027646,0.022819,0.018044,0.016789,0.017426,0.015613,0.068705,0.039557,0.026570,0.022411,0.018667,0.017104,0.015865,0.015590,0.064701,0.068130
0.320785,0.350270,0.133819,0.108911,0.068772,0.038620,0.027271,0.024829,0.018381,0.017422,0.016721,0.015397,0.063953,0.038334,0.025301,0.021771,0.018226,0.017583,0.015750,0.015652,0.067713,0.067175
0.318535,0.357977,0.127747,0.108487,0.063469,0.038670,0.027396,0.021660,0.017988,0.017540,0.016038,0.015341,0.070934,0.037953,0.026635,0.021149,0.018075,0.016640,0.016341,0.015377,0.069348,0.067849
0.331134,0.345136,0.133067,0.131185,0.068105,0.037414,0.028320,0.022895,0.018658,0.016520,0.015594,0.015202,0.068836,0.039099,0.026735,0.020658,0.019243,0.017069,0.016065,0.015357,0.066660,0.068386
0.330306,0.333479,0.127017,0.129710,0.068366,0.040207,0.028240,0.022723,0.018882,0.017454,0.016140,0.018333,0.068645,0.039784,0.028159,0.021428,0.024085,0.017888,0.016192,0.015269,0.069105,0.067402
0.340981,0.353078,0.127978,0.108893,0.067972,0.038117,0.026584,0.026944,0.018983,0.017370,0.016307,0.015020,0.068042,0.039515,0.027546,0.020865,0.020598,0.016340,0.016044,0.017512,0.068746,0.068231
0.330833,0.347270,0.131146,0.128103,0.068854,0.039176,0.026714,0.022554,0.019363,0.017271,0.015957,0.014957,0.069266,0.040364,0.027682,0.021501,0.019220,0.017076,0.016066,0.015459,0.067658,0.068046
0.313794,0.338034,0.128564,0.125252,0.069258,0.039994,0.026370,0.023063,0.019254,0.017493,0.016001,0.015265,0.072327,0.038964,0.027659,0.021282,0.018968,0.016837,0.015745,0.015210,0.067657,0.066867
0.314841,0.356610,0.111535,0.128639,0.064133,0.039116,0.026075,0.021691,0.018423,0.016946,0.016639,0.015953,0.068520,0.040191,0.027257,0.020932,0.018335,0.016844,0.015430,0.015350,0.063198,0.067001
0.313603,0.328551,0.132920,0.125495,0.066441,0.037357,0.027189,0.022191,0.018288,0.017463,0.016647,0.015508,0.063252,0.038448,0.028168,0.021909,0.019040,0.016557,0.015633,0.015917,0.067891,0.069491
0.316991,0.320120,0.111615,0.112513,0.068716,0.038495,0.026202,0.022162,0.018588,0.016855,0.016492,0.014942,0.067866,0.038862,0.027109,0.021964,0.018103,0.017306,0.015949,0.015581,0.063239,0.067343
0.322590,0.354888,0.128697,0.126224,0.067441,0.036796,0.028030,0.022573,0.018376,0.016356,0.016129,0.015128,0.064337,0.037843,0.026044,0.021111,0.018666,0.016966,0.015816,0.015592,0.063060,0.068140
0.322064,0.320785,0.112802,0.125787,0.063972,0.038240,0.026368,0.020980,0.018477,0.016729,0.015610,0.015431,0.066784,0.036780,0.027278,0.021557,0.018509,0.016623,0.016248,0.015858,0.062498,0.063899
